番号,タイトル,カテゴリ推定,MXL有無,音源有無,備考
001,最終鬼畜妹フランドール・Ｓ,東方,,,
002,幾望の月/なきゃむりゃ feat. 結月ゆかり【オルゴール】,,,,
003,【重音テト】アンヘル【UTAUカバー】(Angel / Kasane Teto cover),ボカロ,,,
004,【手描き】エンジェルトレイン【NEEDY GIRL OVERDOSE × ラグトレイン】,アニメ,,,
005,【手描き】五つ子がやってきたぞっ【五等分の花嫁】,,,,
006,カウントダウンラブ,,,,
007,【UTAUカバー】IMAWANOKIWA【重音テト】,ボカロ,,,
008,【GUMI】恋愛勇者【オリジナル】,ボカロ,,,
009,Love Trial - Inugami Korone ver.,,,,
010,【初音ミク(40㍍)】 トリノコシティ Torinoko City【オリジナル】,ボカロ,,,
011,黒塗り世界宛て書簡／重音テト（Letter to the Black World / Kasane Teto）,ボカロ,,,
012,Neru - Lost One's Weeping feat. Kagamine Rin,,,,
013,咲-Saki- OP  bloooomin'  弾いてみた,アニメ,,,
014,【ニコカラ】『ロミオとシンデレラ 』／  doriko feat.初音ミク【 on vocal 】,ボカロ,,,
015,[HD] ドメスティックな彼女 Domestic na Kanojo OP [美波 - カワキヲアメク],アニメ,,,
016,IRIS OUT,,,,
017,[Deleted video],,,,削除/非公開
018,『ジェーンは教会で眠った』 / レゼ (CV. 上田麗奈),,,,
019,【チェンソーマン】レゼ/(CV.上田麗奈)『ジェーンは教会で眠った』 ロシア語 日本語訳 カタカナ付,アニメ,,,
020,ジェーンは教会で眠った,,,,
021,千本桜 [中国語カバー],,,,
022,[4K 60fps] Espoir City is my favorite rush! [Uma Musume Pretty Derby],アニメ,,,
023,めにしゅきラッシュっしゅ！,,,,
024,[Deleted video],,,,削除/非公開
025,クロノトリガー　中世（A D 600） 　風の憧憬,,,,
026,Carry On Hunter x Hunter ed ova 1,アニメ,,,
027,Hunter x Hunter Ed 2,アニメ,,,
028,HUNTER×HUNTER 太陽は夜も輝く,アニメ,,,
029,"夏色えがおで1,2,Jump!",,,,
030,【全国編】New SPARKS!【OP】,アニメ,,,
031,"山崎まさよし - 「One more time,One more chance」MUSIC VIDEO [4K画質]",,,,
032,TSUYOGARU GIRL feat. Mossa(NECRY TALKIE) / BotchiBoromaru - MV｜「Too Many Losing Heroines!」OP Theme,アニメ,,,
033,LOVE 2000,,,,
034,ClariS『hitorigoto』Music Video Full,J-POP,,,
035,「コネクト」ClariS  Full,J-POP,,,
036,私、負けない!～ハルカのテーマ～,,,,
037,【NEUTRINO】ずんだもんと四国めたんにマクロスFのライオンを歌ってもらいました【歌ってみた】,ボカロ,,,
038,混声三部合唱　タンホイザー行進曲,クラシック,,,
039,[Deleted video],,,,削除/非公開
040,02:Dear My Friend -まだ見ぬ未来へ-／ELISA（Audio),,,,
041,future gazer,,,,
042,【 鏡音リン 】　sister's noise　（FULL) 【とある科学の超電磁砲S】,ボカロ,,,
043,azusa【 i Love 】『 アマガミSS 』“ Amagami SS ” OP,アニメ,,,
044,ハッピーシンセサイザ / 巡音ルカ GUMI,ボカロ,,,
045,sister's noise,,,,
046,中二病でも恋がしたい！戀 モがたいリめでもゆめみサマー! 歌詞あり,,,,
047,[Deleted video],,,,削除/非公開
048,花の塔,,,,
049,花の塔 / 沙花叉クロヱ 博衣こより (cover),,,,
050,My dream girls,,,,
051,[Deleted video],,,,削除/非公開
052,やばいクレーマーのSAKURA TV.（独唱・withゆゆうた)SUSURU ver.,,,,
053,せんとくんステージ 『せんとくんなら知っている』,,,,
054,TVアニメ『しかのこのこのここしたんたん』OPテーマ「シカ色デイズ」スペシャルアニメMV,アニメ,,,
055,Queen Bee - Mephisto / THE FIRST TAKE,洋楽,,,
